Run,Algae Cycle (days),Rotifer Cycle (days),Eggs Cycle (days),Dead Animal Cycle (days),Mean Algae (10^6 cells/ml),Std Algae (10^6 cells/ml),Mean Rotifers (animals/ml),Std Rotifers (animals/ml),Mean Eggs (per ml),Std Eggs (per ml),Mean Dead Animals (per ml),Std Dead Animals (per ml),Lag Between Algae and Rotifer populations (days)
C1,3.6864646464646467,4.539135802469136,3.4919047619047623,3.643960396039604,0.5143989071038251,0.3016299000456387,27.775245901639337,18.57978355064132,8.25101092896175,7.3310517244241025,2.284248633879782,2.278023096551654,0.7426829268292684
C2,4.113636363636363,4.0,3.490566037735849,3.3214285714285716,0.5800526315789474,0.2986415404829557,16.93215789473684,9.900113773399784,5.765315789473683,5.180356763394358,0.7577368421052632,0.6831622969926714,0.6595744680851063
C3,3.5153999999999996,3.9552272727272726,3.4772,3.3644230769230767,0.4235164835164835,0.2551150693742339,17.088379120879125,9.38359499098937,4.041098901098901,3.4781773742174393,1.2592307692307694,1.3818541117753147,0.7248888888888876
C4,4.000588235294118,4.295333333333334,3.616486486486487,3.3323076923076926,0.6176258992805755,0.3572754848544604,24.42589928057554,11.114599669617842,10.004892086330933,6.0010890759066315,1.893884892086331,1.5071099662673162,0.914516129032258
C5,3.9204999999999997,6.283333333333334,4.125500000000001,4.056111111111111,0.49034883720930234,0.2652941537088521,13.791918604651165,9.858424291485122,4.5560465116279065,4.077398055745939,1.156220930232558,1.1542523093989676,0.07153846153846138
C6,3.8322033898305086,6.029999999999999,4.552040816326531,3.6146774193548383,2.4725862068965516,1.769832393898617,40.91594827586207,28.349057642658078,12.83633620689655,11.802945187110666,3.3628448275862066,3.084910575235945,0.4323684210526297
C7,4.471224489795919,6.140555555555556,4.309807692307692,3.5961290322580646,2.555063829787234,1.8774447014544684,36.899510638297876,26.919279524585157,10.810574468085107,10.326844126085836,3.8237659574468084,5.70645783980471,0.5705405405405397
C8,5.964482758620689,4.4235,4.53974358974359,3.977727272727273,0.9978260869565219,0.9887479813794171,9.464402173913044,9.71553939066586,2.338804347826087,3.248522099411286,0.7002717391304347,0.8473452158508799,0.49853658536585316
C9,6.552499999999999,4.659999999999999,5.0051851851851845,3.884,1.0439007092198582,0.6498184065563959,27.241560283687942,17.100009786283245,8.702836879432624,5.700284119014362,0.3878723404255319,0.5569070305980014,0.8829999999999997
C10,3.4814814814814814,4.0,3.6346153846153846,3.673076923076923,0.5223484848484848,0.31712407662035363,14.082323232323233,8.172772094720946,5.4117171717171715,3.3952656020456775,0.4187878787878787,0.3398738874122521,0.32653061224489793
